site,timestamp_day,sensor1_pm1_ugm3_avg,sensor2_pm1_ugm3_avg,sensor1_pm2.5_ugm3_avg,sensor2_pm2.5_ugm3_avg,sensor1_pm10_ugm3_avg,sensor2_pm10_ugm3_avg,pm1_ugm3_avg,pm2.5_ugm3_avg,pm10_ugm3_avg,bme_temp_c_avg,bme_humidity_percent_avg,ozone_ppb_avg,ozone_ppm_avg,k30_co2_ppm_avg,site_name,longitude,latitude,social_vuln_score,social_vuln_category,housing_grade,fav_infl,det_infl,inhab_jobs,inhab_blackpop,inhab_income,sales_demands,rental_demand,within_district,district_distance,poll_sour_percentile,poll_sour_rank,poll_sour_type,polltype_rank,npl_sites_percentile,npl_sites_rank,land_use_type,area_sqkm,area_sqmi,population_count,population_density,ozone_ppm_corrected,pm1_corrected_avg,pm25_corrected_avg,pm10_corrected_avg,correction_method,aqi_pm25_original,aqi_pm25_corrected,aqi_pm10_original,aqi_pm10_corrected,aqi_ozone_original,aqi_ozone_corrected
ALotMatter,2025-01-29T05:00:00Z,1.1497975708502,1.1501014198783,1.29352226720647,1.02434077079108,1.52226720647773,1.27789046653144,1.1499493414387,1.15906788247214,1.40020263424519,8.86315789473684,35.6987246963563,19.8965517241379,0.0198965517241379,489.070993914807,A Lot Matter,-76.64776,39.29743,81.58,High,C,close to commercial area,obsolences of old style houses,mechanics and clerks,0,"$1,500",poor,good,yes,,99,68/1406,hazardous waste generators/incinerators,43/1406,69,544/1406,residential,1.294995,0.5,1200,926.644504418936,4.56317039268487e-05,1.99382317555978,4.87209415065914,12.6431359623835,general_calibration,6.4392660137341,27.0671897258841,1.29648392059739,11.7066073725773,18.4227330779055,0.0422515777100451
ALotMatter,2025-01-30T05:00:00Z,10.1048109965636,10.0979381443299,13.6323024054983,14.6855670103093,14.5721649484536,16.372852233677,10.1013745704467,14.1589347079038,15.4725085910653,6.81320754716981,52.6409605488851,20.1735395189003,0.0201735395189003,517.397590361446,A Lot Matter,-76.64776,39.29743,81.58,High,C,close to commercial area,obsolences of old style houses,mechanics and clerks,0,"$1,500",poor,good,yes,,99,68/1406,hazardous waste generators/incinerators,43/1406,69,544/1406,residential,1.294995,0.5,1200,926.644504418936,1.89001662678538e-05,2.52707596887116,3.70679551567257,4.52483731895543,general_calibration,59.617746592973,20.5933084204032,14.326396843579,4.18966418421799,18.6792032582411,0.0175001539517165
ALotMatter,2025-02-01T05:00:00Z,0.778656126482214,0.778656126482214,1.01581027667984,0.387351778656127,1.23320158102767,0.723320158102767,0.778656126482214,0.701581027667984,0.978260869565217,3.88521739130435,31.6566798418972,19.8809523809524,0.0198809523809524,508.211155378486,A Lot Matter,-76.64776,39.29743,81.58,High,C,close to commercial area,obsolences of old style houses,mechanics and clerks,0,"$1,500",poor,good,yes,,99,68/1406,hazardous waste generators/incinerators,43/1406,69,544/1406,residential,1.294995,0.5,1200,926.644504418936,3.80043811311149e-05,2.10139332015066,5.67489182120738,7.35675115442562,general_calibration,3.89767237593325,31.5271767844855,0.905797101449275,6.81180662446816,18.4082892416226,0.0351892417880694
ALotMatter,2025-02-12T05:00:00Z,17.7288261515601,17.726867335563,32.7771173848441,29.7112597547379,36.9773402674589,35.615756224452,17.7278469255063,31.2444733420026,36.2966747167006,2.00487388724036,84.0741246290801,20,0.02,685.450111690246,A Lot Matter,-76.64776,39.29743,81.58,High,C,close to commercial area,obsolences of old style houses,mechanics and clerks,0,"$1,500",poor,good,yes,,99,68/1406,hazardous waste generators/incinerators,43/1406,69,544/1406,residential,1.294995,0.5,1200,926.644504418936,0,6.36745154885123,7.24428575549851,10.0089163592734,general_calibration,92.0997592053282,40.2460319749917,33.6080321450932,9.26751514747541,18.5185185185185,0
ALotMatter,2025-02-13T05:00:00Z,8.24537205081671,8.24392895976801,12.69110707804,13.53388909025,13.7491833030852,15.7249003262051,8.24464998186435,13.1128037722161,14.7377584330794,6.05139130434783,72.3052065217392,20,0.02,632.318545454549,A Lot Matter,-76.64776,39.29743,81.58,High,C,close to commercial area,obsolences of old style houses,mechanics and clerks,0,"$1,500",poor,good,yes,,99,68/1406,hazardous waste generators/incinerators,43/1406,69,544/1406,residential,1.294995,0.5,1200,926.644504418936,1.50599517143195e-06,2.0124296406333,3.42738351967955,5.94194203088151,general_calibration,57.6289045099166,19.0410195537753,13.6460726232217,5.50179817674214,18.5185185185185,0.0013944399735481
ALotMatter,2025-02-14T05:00:00Z,9.72539048310921,9.72651432716732,12.6825281511077,11.290895901342,13.6022520886305,12.7675009067829,9.72595281306717,11.9862068965516,13.1845735027222,3.06203260869565,38.6043115942029,20,0.02,527.610748002905,A Lot Matter,-76.64776,39.29743,81.58,High,C,close to commercial area,obsolences of old style houses,mechanics and clerks,0,"$1,500",poor,good,yes,,99,68/1406,hazardous waste generators/incinerators,43/1406,69,544/1406,residential,1.294995,0.5,1200,926.644504418936,2.69759676979157e-05,2.19930094538606,3.32405120972436,17.002816719911,general_calibration,55.4870853546609,18.4669511651354,12.2079384284465,15.7433488147324,18.5185185185185,0.0249777478684404
ALotMatter,2025-02-15T05:00:00Z,12.284833091437,12.2811026478055,18.0595065312047,18.9470438882847,19.3610304789547,21.3014145810662,12.2829675312897,18.5033557046981,20.3313985126067,3.30519927536232,66.7600724637681,20,0.02,610.097090909088,A Lot Matter,-76.64776,39.29743,81.58,High,C,close to commercial area,obsolences of old style houses,mechanics and clerks,0,"$1,500",poor,good,yes,,99,68/1406,hazardous waste generators/incinerators,43/1406,69,544/1406,residential,1.294995,0.5,1200,926.644504418936,3.33332717637648e-07,4.07735416572505,4.83575941739429,7.38969648341066,general_calibration,67.8771021001865,26.8653300966349,18.8253689931543,6.84231155871357,18.5185185185185,0.000308641405220044
ALotMatter,2025-02-16T05:00:00Z,4.12849364791288,4.12699564586351,6.93938294010898,7.79063860667628,7.65299455535393,9.30224963715524,4.12774451097799,7.36508800580649,8.47777172926857,7.40888405797101,77.5241666666667,20,0.02,658.745916515428,A Lot Matter,-76.64776,39.29743,81.58,High,C,close to commercial area,obsolences of old style houses,mechanics and clerks,0,"$1,500",poor,good,yes,,99,68/1406,hazardous waste generators/incinerators,43/1406,69,544/1406,residential,1.294995,0.5,1200,926.644504418936,0,0.504914963949859,1.08967101078161,4.44715122441217,general_calibration,40.9171555878138,6.0537278376756,7.84978863821164,4.11773261519645,18.5185185185185,0
ALotMatter,2025-02-17T05:00:00Z,1.36136281261327,1.36185641769399,1.57013410656034,0.890500362581584,1.79159115621601,1.22335025380711,1.36160957041871,1.23037882907378,1.50752220409644,2.54222101449275,37.3518913043478,20,0.02,505.766073374501,A Lot Matter,-76.64776,39.29743,81.58,High,C,close to commercial area,obsolences of old style houses,mechanics and clerks,0,"$1,500",poor,good,yes,,99,68/1406,hazardous waste generators/incinerators,43/1406,69,544/1406,residential,1.294995,0.5,1200,926.644504418936,2.69500811892189e-05,2.39813524179392,2.94165826993863,6.32942899413299,general_calibration,6.83543793929876,16.3425459441035,1.39585389268189,5.86058240197499,18.5185185185185,0.0249537788789064
ALotMatter,2025-02-18T05:00:00Z,4.32593670425614,4.32872224244625,5.47071662422702,3.63669457590101,6.2018915969443,4.63451037495448,4.32732896652108,4.55403930131001,5.41848617176128,-1.93074154852781,30.3132969829153,20,0.02,512.248265790434,A Lot Matter,-76.64776,39.29743,81.58,High,C,close to commercial area,obsolences of old style houses,mechanics and clerks,0,"$1,500",poor,good,yes,,99,68/1406,hazardous waste generators/incinerators,43/1406,69,544/1406,residential,1.294995,0.5,1200,926.644504418936,2.31129768399225e-05,0.917001099811676,1.93443368173258,10.1320422335217,general_calibration,25.3002183406112,10.7468537874032,5.01711682570489,9.38152058659412,18.5185185185185,0.0214009044814097
